M   1                                 1952                              
M   2                                 7089                              
M   3                                 5272                              
M   4                                 6121                              
M   5                                 5904                              
M   6                                 6405                              
M   7                                 6475                              
M   8                                 6523                              
M   9                                 6333                              
M  10                                 6254                              
M  11                                 6705                              
M  12                                 6218                              
M  13                                 6205                              
M  14                                 6402                              
M  15                                 7078                              
M  16                                 6611                              
M  17                                 6618                              
M  18                                 6613                              
M  19                                 6273                              
M  20                                 6514                              
M  21                                 6531                              
M  22                                 6656                              
M  23                                 6494                              
M  24                                 6603                            
M  25                                I4725                              
M  26                                 6694                              
M  27                                 6853                              
M  28                                 6626                              
M  29                                 6913                              
M  30                                 7099                              
M  31                                  224                              
M  32                                  221                              
M  33                                  598                              
M  34                                 1039                              
M  35                                 2168                              
M  36                                 1960                              
M  37                                 2099                              
M  38                                 1912                              
M  39                                 7092                              
M  41                                 2287                              
M  42                                 1976                              
M  43                                 1982                              
M  44                                 2632                              
M  46                                 2437                              
M  47                                 2422                              
M  48                                 2548                              
M  49                                 4472                              
M  50                                 2323                              
M  51                                 5194                              
M  51                                 5195                              
M  52                                 7654                              
M  53                                 5024                              
M  54                                 6715                              
M  55                                 6809                              
M  56                                 6779                              
M  57                                 6720                              
M  58                                 4579                              
M  59                                 4621                              
M  60                                 4649                              
M  61                                 4303                              
M  62                                 6266                              
M  63                                 5055                              
M  64                                 4826                              
M  65                                 3623                              
M  66                                 3627                              
M  67                                 2682                              
M  68                                 4590                              
M  69                                 6637                              
M  70                                 6681                              
M  71                                 6838                              
M  72                                 6981                              
M  73                                 6994                              
M  74                                  628                              
M  75                                 6864                              
M  76                                  650                              
M  76                                  651                              
M  77                                 1068                              
M  78                                 2068                              
M  79                                 1904                              
M  80                                 6093                              
M  81                                 3031                              
M  82                                 3034                              
M  83                                 5236                              
M  84                                 4374                              
M  85                                 4382                              
M  86                                 4406                              
M  87                                 4486                              
M  88                                 4501                              
M  89                                 4552                              
M  90                                 4569                              
M  91                                 4548                              
M  92                                 6341                              
M  93                                 2447                              
M  94                                 4736                              
M  95                                 3351                              
M  96                                 3368                              
M  97                                 3587                              
M  98                                 4192                              
M  99                                 4254                              
M 100                                 4321                              
M 101                                 5457                              
M 102                                 5866                              
M 103                                  581                              
M 104                                 4594                              
M 105                                 3379                              
M 106                                 4258                              
M 107                                 6171                              
M 108                                 3556                              
M 109                                 3992                              
M 110                                  205                              
47 Tuc                                 104                              
Antennae                              4038  4038-9                      
Antennae                              4039  4038-9                      
Barnard's galaxy                      6822                              
Bear Paw galaxy                       2537                              
Beehive cluster                       2632  (See Praesepe)              
Black-eye galaxy                      4826                              
Blinking planetary                    6826                              
Blue Snowball                         7662                              
Blue planetary                        3918                              
Bode's nebulae                        3031                              
Bode's nebulae                        3034                              
Box                                   4169  NGC 4169, 73-5              
Box                                   4173  NGC 4169, 73-5              
Box                                   4174  NGC 4169, 73-5              
Box                                   4175  NGC 4169, 73-5              
Box nebula                            6309                              
Bubble nebula                         7635                              
Bug nebula                            6302                              
Butterfly cluster                     6405                              
Butterfly nebula                     I2220                              
California nebula                     1499                              
Christmas Tree cluster                2264                              
Cocoon nebula                        I5146                              
Cone nebula                           2264                              
Copeland's Septet                     3745  NGC 3745-6, 48, 50-1, 53-4  
Copeland's Septet                     3746  NGC 3745-6, 48, 50-1, 53-4  
Copeland's Septet                     3748  NGC 3745-6, 48, 50-1, 53-4  
Copeland's Septet                     3750  NGC 3745-6, 48, 50-1, 53-4  
Copeland's Septet                     3751  NGC 3745-6, 48, 50-1, 53-4  
Copeland's Septet                     3753  NGC 3745-6, 48, 50-1, 53-4  
Copeland's Septet                     3754  NGC 3745-6, 48, 50-1, 53-4  
Crab nebula                           1952                              
Crescent nebula                       6888                              
Double cluster                         869  NGC 869 and 884             
Double cluster                         884  NGC 869 and 884             
Dumbbell nebula                       6853                              
Eagle nebula                          6611  (but sometimes I2177)       
Eight-burst planetary                 3132                              
Eskimo nebula                         2392                              
The Eyes                              4435  NGC 4435, 38                
The Eyes                              4438  NGC 4435, 38                
Filamentary nebula                    6960  (part of the Veil nebula)=  
Flaming Star nebula                  I 405                              
Ghost of Jupiter                      3242                              
Great Cluster in Hercules             6205                              
Great Nebula in Andromeda              224                              
Great Nebula in Orion                 1976                              
Helix galaxy                          2685                              
Helix nebula                          7293                              
Hind's variable nebula                1555                              
Horsehead nebula                     I 434  (Dark nebula in IC 434)     
Hourglass nebula                      6523  (Brightest part of NGC 6523)
Hubble's variable neb                 2261                              
Jewel Box                             4755                              
Lace-work nebula                      6960  (see Filamentary)           
Lagoon nebula                         6523                              
Little Dumbbell                        650  NGC 650-1                   
Little Dumbbell                        651  NGC 650-1                   
Little Gem                            6445                              
Maia nebula                           1432                              
Pleiades                              1432                              
Merope nebula                         1435                              
The Mice                              4676                              
Network nebula                        6992  (part of the Veil nebula)   
Network nebula                        6995  (part of the Veil nebula)   
North America nebula                  7000                              
Omega nebula                          6618                              
Owl nebula                            3587                              
Papillon                             I 708                                            
Pelican nebula                       I5070  I5067, 70                   
Pin-wheel nebula                      4254                              
Polarissima Australis                 2573                              
Polarissima Borealis                  3172                              
Praesepe                              2632                              
Ring nebula in Lyra                   6720                              
Rosette nebula                        2237  NGC 2237-9, 46              
Rosette nebula                        2238  NGC 2237-9, 46              
Rosette nebula                        2239  NGC 2237-9, 46              
Rosette nebula                        2246  NGC 2237-9, 46              
Saturn nebula                         7009                              
Sculptor galaxy                        253                              
Siamese Twins                         4567  NGC 4567-8                  
Siamese Twins                         4568  NGC 4567-8                  
Sombrero galaxy                       4594                              
Southern Pleiades                    I2602  (theta Car)                 
Spindle galaxy                        3115                              
Star Queen nebula                    I4703                              
Stephan's Quintet                     7317  NGC 7317-20                 
Stephan's Quintet                     7318  NGC 7317-20                 
Stephan's Quintet                     7319  NGC 7317-20                 
Stephan's Quintet                     7320  NGC 7317-20                 
Struve's Lost nebula                  1554                              
Sunflower galaxy                      5055                              
Tarantula nebula                      2070                              
Toby Jug nebula                      I2220                              
Triangulum galaxy                      598                              
Trifid nebula                         6514                              
Veil nebula                           6960  NGC 6960, 92, 95            
Veil nebula                           6992  NGC 6960, 92, 95            
Veil nebula                           6995  NGC 6960, 92, 95            
Whirlpool galaxy                      5194  NGC 5194-5                  
Wild Duck cluster                     6705                              
Witch Head nebula                    I2118                              
η Car nebula                          3372                              
γ Cas nebula                         I  59  IC 59,63                    
γ Cas nebula                         I  63  IC 59,63                                         
κ Cru cluster                         4755  (See Jewel Box)             
λ Cen nebula                         I2944                              
λ Cen nebula                         I2948                              
ω Cen                                 5139                              
ρ Oph nebula                         I4604                              
